GeoCode,GeoCodeLabel,Number_of_Motor_Vehicle_Collisions,Vehicles_or_Motorists_Involved,Injury_or_Fatal_Collisions,MotoristsInjured,MotoristsKilled,PassengInjured,PassengKilled,CyclistsInjured,CyclistsKilled,PedestrInjured,PedestrKilled,Bicycle,Month
025,25th Precinct,222.0,440.0,45.0,18.0,0.0,28.0,1.0,2.0,1.0,10.0,0.0,4.0,May
026,26th Precinct,95.0,181.0,14.0,5.0,0.0,3.0,0.0,3.0,0.0,3.0,1.0,3.0,May
028,28th Precinct,95.0,181.0,18.0,6.0,0.0,7.0,0.0,5.0,0.0,4.0,0.0,6.0,May
030,30th Precinct,89.0,172.0,15.0,5.0,0.0,7.0,0.0,5.0,0.0,1.0,0.0,10.0,May
032,32nd Precinct,119.0,216.0,29.0,10.0,0.0,9.0,0.0,5.0,0.0,10.0,1.0,7.0,May
033,33rd Precinct,162.0,324.0,21.0,6.0,0.0,8.0,0.0,2.0,0.0,9.0,0.0,5.0,May
034,34th Precinct,183.0,364.0,26.0,9.0,0.0,12.0,0.0,3.0,0.0,12.0,0.0,3.0,May
B,BRONX,2694.0,5337.0,564.0,292.0,1.0,326.0,0.0,53.0,0.0,120.0,3.0,64.0,May
040,40th Precinct,235.0,470.0,43.0,21.0,0.0,30.0,0.0,6.0,0.0,9.0,0.0,7.0,May
041,41st Precinct,150.0,285.0,20.0,9.0,0.0,5.0,0.0,2.0,0.0,6.0,0.0,2.0,May
042,42nd Precinct,133.0,266.0,29.0,11.0,0.0,16.0,0.0,2.0,0.0,7.0,0.0,5.0,May
043,43rd Precinct,315.0,616.0,62.0,32.0,0.0,40.0,0.0,4.0,0.0,14.0,1.0,5.0,May
044,44th Precinct,238.0,460.0,53.0,19.0,0.0,36.0,0.0,8.0,0.0,8.0,2.0,9.0,May
045,45th Precinct,276.0,545.0,60.0,42.0,0.0,38.0,0.0,2.0,0.0,8.0,0.0,2.0,May
046,46th Precinct,167.0,330.0,46.0,17.0,1.0,20.0,0.0,6.0,0.0,12.0,0.0,7.0,May
047,47th Precinct,310.0,629.0,79.0,44.0,0.0,56.0,0.0,4.0,0.0,13.0,0.0,4.0,May
