DATE,Borough,No. of uber trips,PERSONS KILLED,trafficcol
2015-02-19,STATEN ISLAND,26,0,12
2015-02-20,BRONX,307,0,65
2015-02-20,BROOKLYN,1269,1,138
2015-02-20,MANHATTAN,3752,0,146
2015-02-20,QUEENS,922,1,115
2015-02-20,STATEN ISLAND,28,0,17
2015-02-21,BRONX,322,0,64
2015-02-21,BROOKLYN,1437,0,131
2015-02-21,MANHATTAN,3648,0,87
2015-02-21,QUEENS,1009,0,113
2015-02-21,STATEN ISLAND,29,0,14
2015-02-22,BRONX,300,0,44
2015-02-22,BROOKLYN,1228,0,127
2015-02-22,MANHATTAN,2902,0,78
2015-02-22,QUEENS,925,1,122
2015-02-22,STATEN ISLAND,16,0,14
2015-02-23,BRONX,276,0,67
2015-02-23,BROOKLYN,1121,0,136
2015-02-23,MANHATTAN,3131,0,109
2015-02-23,QUEENS,889,0,98
2015-02-23,STATEN ISLAND,27,0,11
2015-02-24,BRONX,273,0,34
2015-02-24,BROOKLYN,1046,0,96
2015-02-24,MANHATTAN,3409,0,77
2015-02-24,QUEENS,822,0,76
2015-02-24,STATEN ISLAND,30,0,10
2015-02-25,BRONX,292,0,10
2015-02-25,BROOKLYN,1075,0,15
2015-02-25,MANHATTAN,3093,0,14
2015-02-25,QUEENS,807,0,18
2015-02-25,STATEN ISLAND,19,0,1
2015-02-26,BRONX,270,0,13
2015-02-26,BROOKLYN,1083,0,21
2015-02-26,MANHATTAN,3258,0,18
2015-02-26,QUEENS,798,0,15
2015-02-26,STATEN ISLAND,37,0,3
2015-02-27,BRONX,304,0,51
2015-02-27,BROOKLYN,1228,2,93
2015-02-27,MANHATTAN,3547,0,77
2015-02-27,QUEENS,915,0,84
2015-02-27,STATEN ISLAND,32,0,15
2015-02-28,BRONX,372,0,62
2015-02-28,BROOKLYN,1430,0,116
2015-02-28,MANHATTAN,3508,0,100
2015-02-28,QUEENS,1018,0,123
2015-02-28,STATEN ISLAND,28,0,17
2015-03-01,BRONX,298,0,76
2015-03-01,BROOKLYN,1285,0,171
2015-03-01,MANHATTAN,3056,0,98
2015-03-01,QUEENS,929,0,169
2015-03-01,STATEN ISLAND,30,0,29
2015-03-02,BRONX,259,0,68
2015-03-02,BROOKLYN,1006,0,167
2015-03-02,MANHATTAN,2892,0,119
2015-03-02,QUEENS,870,0,131
2015-03-02,STATEN ISLAND,25,1,18
2015-03-03,BRONX,254,0,78
2015-03-03,BROOKLYN,959,0,178
2015-03-03,MANHATTAN,3192,0,95
2015-03-03,QUEENS,784,0,134
2015-03-03,STATEN ISLAND,15,0,14
2015-03-04,BRONX,271,0,68
2015-03-04,BROOKLYN,1023,0,164
2015-03-04,MANHATTAN,3119,0,111
2015-03-04,QUEENS,817,0,115
2015-03-04,STATEN ISLAND,28,0,10
2015-03-05,BRONX,254,0,97
2015-03-05,BROOKLYN,1003,0,214
2015-03-05,MANHATTAN,3212,0,121
2015-03-05,QUEENS,786,0,208
2015-03-05,STATEN ISLAND,12,0,35
2015-03-06,BRONX,283,0,96
2015-03-06,BROOKLYN,1161,0,178
2015-03-06,MANHATTAN,3334,0,209
2015-03-06,QUEENS,899,0,196
2015-03-06,STATEN ISLAND,26,0,36
2015-03-07,BRONX,339,0,62
2015-03-07,BROOKLYN,1363,0,133
2015-03-07,MANHATTAN,3321,1,131
2015-03-07,QUEENS,982,0,110
2015-03-07,STATEN ISLAND,27,0,19
2015-03-08,BRONX,288,0,43
2015-03-08,BROOKLYN,1291,0,125
2015-03-08,MANHATTAN,2817,0,84
2015-03-08,QUEENS,892,0,84
2015-03-08,STATEN ISLAND,15,0,11
2015-03-09,BRONX,258,0,70
2015-03-09,BROOKLYN,1001,1,165
2015-03-09,MANHATTAN,2712,0,121
2015-03-09,QUEENS,828,0,128
2015-03-09,STATEN ISLAND,23,0,11
2015-03-10,BRONX,244,0,63
2015-03-10,BROOKLYN,1050,0,133
2015-03-10,MANHATTAN,3051,0,111
2015-03-10,QUEENS,799,0,117
2015-03-10,STATEN ISLAND,14,0,14
2015-03-11,BRONX,261,0,62
2015-03-11,BROOKLYN,979,0,146
2015-03-11,MANHATTAN,2910,0,116
2015-03-11,QUEENS,779,0,97
2015-03-11,STATEN ISLAND,24,0,9
2015-03-12,BRONX,259,0,58
2015-03-12,BROOKLYN,1061,0,141
2015-03-12,MANHATTAN,3149,0,112
2015-03-12,QUEENS,839,0,115
2015-03-12,STATEN ISLAND,21,0,22
2015-03-13,BRONX,298,0,56
2015-03-13,BROOKLYN,1223,0,151
2015-03-13,MANHATTAN,3406,0,112
2015-03-13,QUEENS,886,0,122
2015-03-13,STATEN ISLAND,33,0,13
2015-03-14,BRONX,310,0,57
2015-03-14,BROOKLYN,1415,0,96
2015-03-14,MANHATTAN,3638,0,120
2015-03-14,QUEENS,994,0,106
2015-03-14,STATEN ISLAND,36,0,15
2015-03-15,BRONX,327,0,51
2015-03-15,BROOKLYN,1278,0,123
2015-03-15,MANHATTAN,2867,0,90
2015-03-15,QUEENS,883,0,89
2015-03-15,STATEN ISLAND,16,0,11
2015-03-16,BRONX,256,0,36
2015-03-16,BROOKLYN,1012,1,128
2015-03-16,MANHATTAN,2730,0,108
2015-03-16,QUEENS,833,0,109
2015-03-16,STATEN ISLAND,31,0,17
2015-03-17,BRONX,260,0,46
2015-03-17,BROOKLYN,1041,0,131
2015-03-17,MANHATTAN,2986,0,100
2015-03-17,QUEENS,851,1,95
2015-03-17,STATEN ISLAND,23,0,18
2015-03-18,BRONX,284,0,44
2015-03-18,BROOKLYN,1104,0,118
2015-03-18,MANHATTAN,3035,0,109
2015-03-18,QUEENS,827,0,119
2015-03-18,STATEN ISLAND,33,0,12
2015-03-19,BRONX,261,0,44
2015-03-19,BROOKLYN,1103,0,153
2015-03-19,MANHATTAN,3158,0,101
2015-03-19,QUEENS,858,0,106
2015-03-19,STATEN ISLAND,20,0,11
2015-03-20,BRONX,319,2,86
2015-03-20,BROOKLYN,1231,0,129
2015-03-20,MANHATTAN,3607,0,93
2015-03-20,QUEENS,919,0,123
2015-03-20,STATEN ISLAND,29,0,14
2015-03-21,BRONX,322,0,51
2015-03-21,BROOKLYN,1383,0,120
2015-03-21,MANHATTAN,3214,0,85
2015-03-21,QUEENS,984,0,103
2015-03-21,STATEN ISLAND,35,0,17
2015-03-22,BRONX,309,0,31
2015-03-22,BROOKLYN,1372,0,103
2015-03-22,MANHATTAN,3025,0,96
2015-03-22,QUEENS,952,0,87
2015-03-22,STATEN ISLAND,28,0,5
2015-03-23,BRONX,263,0,66
2015-03-23,BROOKLYN,1101,0,153
2015-03-23,MANHATTAN,2964,0,110
2015-03-23,QUEENS,853,0,118
2015-03-23,STATEN ISLAND,31,0,15
2015-03-24,BRONX,261,0,58
2015-03-24,BROOKLYN,1071,0,128
2015-03-24,MANHATTAN,3058,0,119
2015-03-24,QUEENS,818,0,127
2015-03-24,STATEN ISLAND,24,0,18
2015-03-25,BRONX,274,0,45
2015-03-25,BROOKLYN,1122,1,141
2015-03-25,MANHATTAN,3228,0,104
2015-03-25,QUEENS,827,0,112
2015-03-25,STATEN ISLAND,27,0,14
2015-03-26,BRONX,286,0,59
2015-03-26,BROOKLYN,1138,0,139
2015-03-26,MANHATTAN,3180,0,91
2015-03-26,QUEENS,849,0,94
2015-03-26,STATEN ISLAND,25,0,16
2015-03-27,BRONX,309,0,52
2015-03-27,BROOKLYN,1291,0,125
2015-03-27,MANHATTAN,3431,0,105
2015-03-27,QUEENS,960,0,107
2015-03-27,STATEN ISLAND,34,0,12
2015-03-28,BRONX,360,0,46
2015-03-28,BROOKLYN,1503,0,109
2015-03-28,MANHATTAN,3519,0,89
2015-03-28,QUEENS,1039,0,93
2015-03-28,STATEN ISLAND,43,0,21
2015-03-29,BRONX,317,0,49
2015-03-29,BROOKLYN,1373,0,114
2015-03-29,MANHATTAN,3071,0,95
2015-03-29,QUEENS,1001,0,100
2015-03-29,STATEN ISLAND,30,0,14
2015-03-30,BRONX,282,0,53
2015-03-30,BROOKLYN,1090,0,134
2015-03-30,MANHATTAN,3022,0,116
2015-03-30,QUEENS,897,0,102
2015-03-30,STATEN ISLAND,21,0,20
2015-03-31,BRONX,288,0,52
2015-03-31,BROOKLYN,1116,0,152
2015-03-31,MANHATTAN,3327,0,125
2015-03-31,QUEENS,883,0,115
2015-03-31,STATEN ISLAND,21,0,22
2015-04-01,BRONX,242,0,62
2015-04-01,BROOKLYN,1015,0,142
2015-04-01,MANHATTAN,2700,0,142
2015-04-01,QUEENS,739,0,108
2015-04-01,STATEN ISLAND,18,0,18
2015-04-02,BRONX,257,1,58
2015-04-02,BROOKLYN,1102,0,128
2015-04-02,MANHATTAN,2748,1,161
2015-04-02,QUEENS,779,0,134
2015-04-02,STATEN ISLAND,25,0,11
2015-04-03,BRONX,277,0,36
2015-04-03,BROOKLYN,1254,0,109
2015-04-03,MANHATTAN,2882,0,97
2015-04-03,QUEENS,802,0,79
2015-04-03,STATEN ISLAND,30,0,13
2015-04-04,BRONX,301,0,42
2015-04-04,BROOKLYN,1301,0,107
2015-04-04,MANHATTAN,2632,0,97
2015-04-04,QUEENS,883,0,110
2015-04-04,STATEN ISLAND,26,0,14
2015-04-05,BRONX,302,1,50
2015-04-05,BROOKLYN,1292,0,78
2015-04-05,MANHATTAN,2349,0,83
2015-04-05,QUEENS,891,0,80
2015-04-05,STATEN ISLAND,31,0,12
2015-04-06,BRONX,268,0,61
2015-04-06,BROOKLYN,950,0,121
2015-04-06,MANHATTAN,2439,0,97
2015-04-06,QUEENS,811,0,80
2015-04-06,STATEN ISLAND,21,0,15
2015-04-07,BRONX,241,0,45
2015-04-07,BROOKLYN,1023,0,94
2015-04-07,MANHATTAN,2658,0,126
