DATE,Borough,counts
2015-03-22,Brooklyn,1372
2015-03-22,Manhattan,3025
2015-03-22,Queens,952
2015-03-22,Staten Island,28
2015-03-22,Unknown,11
2015-03-23,Bronx,263
2015-03-23,Brooklyn,1101
2015-03-23,EWR,1
2015-03-23,Manhattan,2964
2015-03-23,Queens,853
2015-03-23,Staten Island,31
2015-03-23,Unknown,6
2015-03-24,Bronx,261
2015-03-24,Brooklyn,1071
2015-03-24,Manhattan,3058
2015-03-24,Queens,818
2015-03-24,Staten Island,24
2015-03-24,Unknown,9
2015-03-25,Bronx,274
2015-03-25,Brooklyn,1122
2015-03-25,Manhattan,3228
2015-03-25,Queens,827
2015-03-25,Staten Island,27
2015-03-25,Unknown,8
2015-03-26,Bronx,286
2015-03-26,Brooklyn,1138
2015-03-26,EWR,1
2015-03-26,Manhattan,3180
2015-03-26,Queens,849
2015-03-26,Staten Island,25
2015-03-26,Unknown,8
2015-03-27,Bronx,309
2015-03-27,Brooklyn,1291
2015-03-27,Manhattan,3431
2015-03-27,Queens,960
2015-03-27,Staten Island,34
2015-03-27,Unknown,14
2015-03-28,Bronx,360
2015-03-28,Brooklyn,1503
2015-03-28,Manhattan,3519
2015-03-28,Queens,1039
2015-03-28,Staten Island,43
2015-03-28,Unknown,6
2015-03-29,Bronx,317
2015-03-29,Brooklyn,1373
2015-03-29,Manhattan,3071
2015-03-29,Queens,1001
2015-03-29,Staten Island,30
2015-03-29,Unknown,11
2015-03-30,Bronx,282
2015-03-30,Brooklyn,1090
2015-03-30,Manhattan,3022
2015-03-30,Queens,897
2015-03-30,Staten Island,21
2015-03-30,Unknown,8
2015-03-31,Bronx,288
2015-03-31,Brooklyn,1116
2015-03-31,EWR,1
2015-03-31,Manhattan,3327
2015-03-31,Queens,883
2015-03-31,Staten Island,21
2015-03-31,Unknown,9
2015-04-01,Bronx,242
2015-04-01,Brooklyn,1015
2015-04-01,Manhattan,2700
2015-04-01,Queens,739
2015-04-01,Staten Island,18
2015-04-01,Unknown,9
2015-04-02,Bronx,257
2015-04-02,Brooklyn,1102
2015-04-02,EWR,1
2015-04-02,Manhattan,2748
2015-04-02,Queens,779
2015-04-02,Staten Island,25
2015-04-02,Unknown,8
2015-04-03,Bronx,277
2015-04-03,Brooklyn,1254
2015-04-03,Manhattan,2882
2015-04-03,Queens,802
2015-04-03,Staten Island,30
2015-04-03,Unknown,7
2015-04-04,Bronx,301
2015-04-04,Brooklyn,1301
2015-04-04,Manhattan,2632
2015-04-04,Queens,883
2015-04-04,Staten Island,26
2015-04-04,Unknown,9
2015-04-05,Bronx,302
2015-04-05,Brooklyn,1292
2015-04-05,Manhattan,2349
2015-04-05,Queens,891
2015-04-05,Staten Island,31
2015-04-05,Unknown,8
2015-04-06,Bronx,268
2015-04-06,Brooklyn,950
2015-04-06,EWR,1
2015-04-06,Manhattan,2439
2015-04-06,Queens,811
2015-04-06,Staten Island,21
2015-04-06,Unknown,9
2015-04-07,Bronx,241
2015-04-07,Brooklyn,1023
2015-04-07,EWR,1
2015-04-07,Manhattan,2658
2015-04-07,Queens,755
2015-04-07,Staten Island,21
2015-04-07,Unknown,5
2015-04-08,Bronx,247
2015-04-08,Brooklyn,1021
2015-04-08,Manhattan,2621
