STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,AWND_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,WDF2,WDF2_ATTRIBUTES,WDF5,WDF5_ATTRIBUTES,WSF2,WSF2_ATTRIBUTES,WSF5,WSF5_ATTRIBUTES,WT01,WT01_ATTRIBUTES,WT02,WT02_ATTRIBUTES,WT03,WT03_ATTRIBUTES,WT04,WT04_ATTRIBUTES,WT05,WT05_ATTRIBUTES,WT06,WT06_ATTRIBUTES,WT08,WT08_ATTRIBUTES,WT09,WT09_ATTRIBUTES,WT10,WT10_ATTRIBUTES,WT11,WT11_ATTRIBUTES
US1NYWC0003,"WHITE PLAINS 3.1 NNW, NY US",41.0639,-73.7722,71,6/15/14,,,0,",,N",0,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1NYWC0003,"WHITE PLAINS 3.1 NNW, NY US",41.0639,-73.7722,71,6/16/14,,,0,",,N",0,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1NYWC0003,"WHITE PLAINS 3.1 NNW, NY US",41.0639,-73.7722,71,6/17/14,,,0.01,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1NYWC0003,"WHITE PLAINS 3.1 NNW, NY US",41.0639,-73.7722,71,6/18/14,,,0,",,N",0,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1NYWC0003,"WHITE PLAINS 3.1 NNW, NY US",41.0639,-73.7722,71,6/20/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1NYWC0003,"WHITE PLAINS 3.1 NNW, NY US",41.0639,-73.7722,71,6/21/14,,,0,",,N",0,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1NYWC0003,"WHITE PLAINS 3.1 NNW, NY US",41.0639,-73.7722,71,6/22/14,,,0,",,N",0,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1NYWC0003,"WHITE PLAINS 3.1 NNW, NY US",41.0639,-73.7722,71,6/23/14,,,0,",,N",0,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1NYWC0003,"WHITE PLAINS 3.1 NNW, NY US",41.0639,-73.7722,71,6/24/14,,,0,",,N",0,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1NYWC0003,"WHITE PLAINS 3.1 NNW, NY US",41.0639,-73.7722,71,6/25/14,,,0,",,N",0,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1NYWC0003,"WHITE PLAINS 3.1 NNW, NY US",41.0639,-73.7722,71,6/26/14,,,0.23,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1NYWC0003,"WHITE PLAINS 3.1 NNW, NY US",41.0639,-73.7722,71,6/27/14,,,0,",,N",0,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1NYWC0003,"WHITE PLAINS 3.1 NNW, NY US",41.0639,-73.7722,71,6/28/14,,,0,",,N",0,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1NYWC0003,"WHITE PLAINS 3.1 NNW, NY US",41.0639,-73.7722,71,6/29/14,,,0,",,N",0,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1NYWC0003,"WHITE PLAINS 3.1 NNW, NY US",41.0639,-73.7722,71,6/30/14,,,0,",,N",0,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1NYWC0003,"WHITE PLAINS 3.1 NNW, NY US",41.0639,-73.7722,71,7/1/14,,,0,",,N",0,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1NYWC0003,"WHITE PLAINS 3.1 NNW, NY US",41.0639,-73.7722,71,7/2/14,,,0,",,N",0,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1NYWC0003,"WHITE PLAINS 3.1 NNW, NY US",41.0639,-73.7722,71,7/3/14,,,1.94,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1NYWC0003,"WHITE PLAINS 3.1 NNW, NY US",41.0639,-73.7722,71,7/4/14,,,0.94,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1NYWC0003,"WHITE PLAINS 3.1 NNW, NY US",41.0639,-73.7722,71,7/5/14,,,0.17,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1NYWC0003,"WHITE PLAINS 3.1 NNW, NY US",41.0639,-73.7722,71,7/6/14,,,0,",,N",0,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1NYWC0003,"WHITE PLAINS 3.1 NNW, NY US",41.0639,-73.7722,71,7/7/14,,,0,",,N",0,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1NYWC0003,"WHITE PLAINS 3.1 NNW, NY US",41.0639,-73.7722,71,7/8/14,,,0.21,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1NYWC0003,"WHITE PLAINS 3.1 NNW, NY US",41.0639,-73.7722,71,7/9/14,,,0,",,N",0,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1NYWC0003,"WHITE PLAINS 3.1 NNW, NY US",41.0639,-73.7722,71,7/10/14,,,0,",,N",0,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1NYWC0003,"WHITE PLAINS 3.1 NNW, NY US",41.0639,-73.7722,71,7/11/14,,,0,",,N",0,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1NYWC0003,"WHITE PLAINS 3.1 NNW, NY US",41.0639,-73.7722,71,7/12/14,,,0,",,N",0,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1NYWC0003,"WHITE PLAINS 3.1 NNW, NY US",41.0639,-73.7722,71,7/13/14,,,0,",,N",0,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
